YEAR;ESCALA;COUNTRY
1896;5.8;CHINA
1896;6.5;CHINA
1896;8.3;JAPAN
1896;7.5;AFGHANISTAN
1896;6.8;INDONESIA
1896;6.6;CHINA
1896;7.6;RUSSIA
1897;6.1;IRAN
1897;8.3;JAPAN
1897;7.4;JAPAN
1897;5.5;INDONESIA
1897;6.0;TAIWAN
1897;6.5;AUSTRALIA
1897;7.9;PHILIPPINES
1897;7.0;MEXICO
1897;8.0;INDIA
1897;7.0;MEXICO
1897;7.7;JAPAN
1897;7.9;PHILIPPINES
1897;7.9;JAPAN
1897;7.7;PERU
1897;8.6;PHILIPPINES
1897;8.7;PHILIPPINES
1897;8.1;PHILIPPINES
1897;7.9;PHILIPPINES
1898;4.3;IRAN
1898;6.5;USA
1898;7.2;JAPAN
1898;7.9;NICARAGUA
1898;6.0;CHINA
1898;7.6;USA
1898;6.5;CHILE
1898;6.2;GREECE
1898;5.5;CHINA
1899;6.6;GREECE
1899;8.4;MEXICO
1899;6.9;BOLIVIA
1899;7.8;JAMAICA
1899;8.2;USA
1899;7.8;USA
1899;8.2;USA
1899;6.7;TURKEY
1899;7.8;INDONESIA
1899;7.9;RUSSIA
1899;7.1;JAPAN
1899;6.4;USA
1899;5.6;TURKEY
1900;7.8;JAPAN
1900;7.4;MEXICO
1900;7.8;MEXICO
1900;7.5;COSTA RICA
1900;5.9;TURKEY
1900;7.6;SOLOMON ISLANDS
1900;6.8;PAPUA NEW GUINEA
1900;7.9;COLOMBIA
1900;6.9;INDONESIA
1900;8.3;USA
1900;8.4;VENEZUELA
1900;7.9;RUSSIA
1901;7.8;ECUADOR
1901;6.0;CHINA
1901;6.4;USA
1901;6.4;BULGARIA
1901;7.2;BULGARIA
1901;7.5;RUSSIA
1901;7.9;JAPAN
1901;7.9;JAPAN
1901;8.4;NEW CALEDONIA
1901;8.2;JAPAN
1901;6.3;JAPAN
1901;7.0;NICARAGUA
1901;6.1;TURKEY
1901;7.8;PHILIPPINES
1901;5.9;TURKEY
1901;7.8;USA
1902;7.8;USA
1902;7.0;MEXICO
1902;6.3;GUATEMALA
1902;7.8;PAPUA NEW GUINEA
1902;7.8;TONGA
1902;6.9;AZERBAIJAN
1902;7.0;EL SALVADOR
1902;5.5;TURKEY
1902;7.5;GUATEMALA
1902;8.0;RUSSIA
1902;6.6;TURKEY
1902;7.3;PHILIPPINES
1902;7.7;CHINA
1902;5.5;CHINA
1902;8.1;USA TERRITORY
1902;7.8;MEXICO
1902;7.8;MEXICO
1902;6.4;UZBEKISTAN
1903;8.0;TONGA
1903;7.7;MEXICO
1903;7.8;MONGOLIA
1903;8.1;INDONESIA
1903;5.7;ISRAEL
1903;6.5;INDONESIA
1903;6.3;TURKEY
1903;7.9;VANUATU
1903;5.8;TURKEY
1903;8.3;USA
1903;7.7;COLOMBIA
1903;7.8;GREECE
1903;6.5;IRAN
1903;6.5;CHILE
1903;7.8;PHILIPPINES
1904;7.9;COLOMBIA
1904;7.6;JAPAN
1904;7.5;BULGARIA
1904;7.8;BULGARIA
1904;6.0;TAIWAN
1904;7.9;JAPAN
1904;8.3;RUSSIA
1904;8.1;RUSSIA
1904;7.9;RUSSIA
1904;7.5;NEW ZEALAND
1904;6.2;GREECE
1904;7.9;JAPAN
1904;8.3;USA
1904;6.0;CHINA
1904;7.7;ECUADOR
1904;6.3;TAIWAN
1904;7.2;PANAMA
1905;6.8;COSTA RICA
1905;8.4;INDONESIA
1905;7.9;USA
1905;7.5;KERMADEC ISLANDS (NEW ZEALAND)
1905;7.8;INDIA
1905;6.5;TURKEY
1905;7.5;PAPUA NEW GUINEA
1905;6.6;ALBANIA
1905;7.8;JAPAN
1905;7.6;KIRIBATI
1905;7.0;JAPAN
1905;8.4;MONGOLIA
1905;8.4;MONGOLIA
1905;7.5;JAPAN
1905;7.1;ITALY
1905;7.8;RUSSIA
1905;5.1;RUSSIA
1905;6.4;BULGARIA
1905;7.5;GEORGIA
1905;5.0;CHINA
1905;7.8;GREECE
1905;6.8;TURKEY
1905;6.5;PHILIPPINES
1906;5.5;CHINA
1906;8.4;JAPAN
1906;8.6;ECUADOR
1906;7.7;COLOMBIA
1906;6.5;ALBANIA
1906;6.8;TAIWAN
1906;6.5;CHINA
1906;7.5;MEXICO
1906;6.5;TAIWAN
1906;7.9;USA
1906;5.3;CHINA
1906;7.7;COLOMBIA
1906;7.7;COLOMBIA
1906;7.8;USA
1906;8.2;CHILE
1906;6.8;ETHIOPIA
1906;8.0;PAPUA NEW GUINEA
1906;7.9;ECUADOR
1906;7.2;PAPUA NEW GUINEA
1906;7.8;AUSTRALIA
1906;5.0;GHANA
1906;7.9;MARTINIQUE
1906;8.3;CHINA
1906;7.6;USA
1906;7.9;PERU
1907;7.8;INDONESIA
1907;6.5;JAMAICA
1907;7.6;PERU
1907;7.3;INDONESIA
1907;8.3;MEXICO
1907;7.6;PHILIPPINES
1907;7.4;PHILIPPINES
1907;7.7;PAPUA NEW GUINEA
1907;7.9;RUSSIA
1907;7.9;INDONESIA
1907;6.2;ALBANIA
1907;7.8;USA
1907;5.5;USA
1907;7.7;MEXICO
1907;7.4;TAJIKISTAN
1907;5.9;ITALY
1907;7.4;PAPUA NEW GUINEA
1908;7.5;INDONESIA
1908;6.0;USA
1908;7.5;PHILIPPINES
1908;6.6;INDONESIA
1908;8.1;MEXICO
1908;7.5;MEXICO
1908;7.5;INDONESIA
1908;6.8;USA
1908;7.0;AFGHANISTAN
1908;7.6;RUSSIA
1908;8.2;PERU
1908;7.5;MYANMAR (BURMA)
1908;7.0;ITALY
1909;5.8;TURKEY
1909;7.7;IRAN
1909;6.3;TURKEY
1909;7.8;FIJI
1909;6.7;JAPAN
1909;7.5;JAPAN
1909;7.8;USA
1909;7.3;TAIWAN
1909;6.6;PORTUGAL
1909;6.5;CHINA
1909;7.6;INDONESIA
1909;7.6;CHILE
1909;6.2;FRANCE
1909;8.1;AFGHANISTAN
1909;5.7;GREECE
1909;7.8;MEXICO
1909;6.9;JAPAN
1909;7.2;PAKISTAN
1909;5.8;TURKEY
1909;4.7;MEXICO
1909;7.9;JAPAN
1909;7.3;TAIWAN
1909;7.7;SOLOMON ISLANDS
1909;8.0;USA TERRITORY
1910;7.5;HONDURAS
1910;6.8;CHINA
1910;7.4;JAPAN
1910;6.0;PAPUA NEW GUINEA
1910;7.8;TAIWAN
1910;7.5;JAPAN
1910;7.5;VANUATU
1910;5.9;ITALY
1910;7.9;VANUATU
1910;6.4;ALGERIA
1910;6.1;TURKEY
1910;6.9;MEXICO
1910;7.9;VANUATU
1910;7.2;VANUATU
1910;8.0;SOLOMON ISLANDS
1910;7.3;ZAMBIA
1910;7.5;INDONESIA
1910;6.7;INDONESIA
1910;6.2;PHILIPPINES
1911;7.7;KAZAKHSTAN
1911;5.5;CHINA
1911;7.4;TAJIKISTAN
1911;6.7;GREECE
1911;6.7;IRAN
1911;7.6;RUSSIA
1911;5.5;CHINA
1911;7.9;MEXICO
1911;8.0;JAPAN
1911;7.6;AFGHANISTAN
1911;7.8;PHILIPPINES
1911;5.0;FRANCE
1911;7.7;MICRONESIA, FED. STATES OF
1911;7.3;CHILE
1911;6.9;USA
1911;4.3;ITALY
1911;7.6;MEXICO
1912;7.0;GREECE
1912;7.5;ICELAND
1912;8.0;MYANMAR (BURMA)
1912;6.6;JAPAN
1912;7.0;PERU
1912;7.8;TURKEY
1912;7.5;MICRONESIA, FED. STATES OF
1912;6.9;MICRONESIA, FED. STATES OF
1912;7.5;USA
1912;7.8;MEXICO
1912;7.5;ARGENTINA
1913;7.5;RUSSIA
1913;6.8;NEW ZEALAND
1913;7.7;ECUADOR
1913;7.8;INDONESIA
1913;5.8;IRAN
1913;7.7;PHILIPPINES
1913;7.5;PAPUA NEW GUINEA
1913;6.8;BULGARIA
1913;7.6;TONGA
1913;7.0;PERU
1913;7.7;RUSSIA
1913;7.9;PERU
1913;6.0;CHINA
1913;7.0;PAPUA NEW GUINEA
1913;8.1;VANUATU
1913;6.3;PERU
1913;7.5;VANUATU
1913;7.0;CHINA
1914;7.1;JAPAN
1914;7.6;CHILE
1914;7.2;PERU
1914;7.2;JAPAN
1914;7.5;MEXICO
1914;4.9;ITALY
1914;8.1;INDONESIA
1914;5.6;TURKEY
1914;5.8;ECUADOR
1914;7.6;INDONESIA
1914;7.5;CHINA
1914;7.0;TURKEY
1914;6.0;GREECE
1914;7.6;PALAU
1914;8.1;JAPAN
1914;6.3;GREECE
1915;7.5;ITALY
1915;7.7;JAPAN
1915;8.1;RUSSIA
1915;7.6;PERU
1915;6.2;USA
1915;7.3;RUSSIA
1915;6.7;GREECE
1915;7.9;EL SALVADOR
1915;7.6;USA
1915;7.8;JAPAN
1915;6.0;INDONESIA
1915;6.4;PHILIPPINES
1915;7.0;CHINA
1915;6.6;EL SALVADOR
1916;7.9;PAPUA NEW GUINEA
1916;8.1;INDONESIA
1916;8.1;INDONESIA
1916;7.8;TURKEY
1916;8.0;JAPAN
1916;7.7;USA
1916;7.5;NICARAGUA
1916;7.5;USA
1916;7.8;JAPAN
1916;7.2;DOMINICAN REPUBLIC
1916;7.0;PANAMA
1916;7.5;ARGENTINA
1916;5.1;ITALY
1916;7.5;PAPUA NEW GUINEA
1916;7.5;BOLIVIA
1916;7.7;NEPAL
1916;6.5;TAIWAN
1916;7.3;INDONESIA
1916;4.9;SLOVENIA
1916;7.7;RUSSIA
1916;6.0;TAIWAN
1917;6.3;TAIWAN
1917;6.6;INDONESIA
1917;6.3;CHINA
1917;6.5;CHINA
1917;5.6;SLOVENIA
1917;7.8;RUSSIA
1917;6.4;PHILIPPINES
1917;5.5;ITALY
1917;8.0;KERMADEC ISLANDS (NEW ZEALAND)
1917;5.8;TAIWAN
1917;7.9;USA
1917;6.7;EL SALVADOR
1917;8.3;SAMOA
1917;7.7;TAIWAN
1917;7.7;PAPUA NEW GUINEA
1917;6.8;CHINA
1917;7.5;CHINA
1917;7.8;INDONESIA
1917;7.3;COLOMBIA
1917;7.5;KERMADEC ISLANDS (NEW ZEALAND)
1917;6.0;GUATEMALA
1917;7.7;MEXICO
1918;7.7;RUSSIA
1918;7.5;PHILIPPINES
1918;7.3;CHINA
1918;6.8;USA
1918;7.9;CHILE
1918;7.5;PAPUA NEW GUINEA
1918;7.6;BANGLADESH
1918;5.5;CHINA
1918;8.3;PHILIPPINES
1918;8.3;RUSSIA
1918;7.3;USA TERRITORY
1918;7.8;RUSSIA
1918;8.1;INDONESIA
1918;7.8;CHILE
1919;7.4;PHILIPPINES
1919;8.3;FIJI
1919;5.9;EL SALVADOR
1919;8.1;TONGA
1919;7.6;JAPAN
1919;7.8;PAPUA NEW GUINEA
1919;6.2;ITALY
1919;6.6;NICARAGUA
1919;6.9;FIJI
1919;5.6;ITALY
1920;7.8;MEXICO
1920;7.7;PAPUA NEW GUINEA
1920;6.2;GEORGIA
1920;8.0;TAIWAN
1920;7.0;CHILE
1920;5.8;ITALY
1920;7.8;NEW CALEDONIA
1920;6.2;ALBANIA
1920;8.3;CHINA
1920;6.0;ARGENTINA
1920;5.6;ALBANIA
1921;7.5;GUATEMALA
1921;7.7;MEXICO
1921;6.2;INDONESIA
1921;5.9;ETHIOPIA
1921;7.5;INDONESIA
1921;4.8;CENTRAL AFRICAN REPUBLIC
1921;7.5;PHILIPPINES
1921;7.8;AFGHANISTAN
1921;7.6;PERU
1922;7.2;PERU
1922;7.6;COLOMBIA
1922;7.6;PERU
1922;7.5;PAPUA NEW GUINEA
1922;7.6;USA
1922;6.4;NICARAGUA
1922;6.3;PHILIPPINES
1922;6.0;PHILIPPINES
1922;6.0;SERBIA AND MONTENEGRO
1922;5.1;ALGERIA
1922;7.6;TAIWAN
1922;7.4;PERU
1922;7.5;RUSSIA
1922;8.7;CHILE
1922;7.5;AFGHANISTAN
1922;6.3;NEW ZEALAND
1923;7.2;USA
1923;8.3;RUSSIA
1923;5.5;IRAN
1923;6.8;ECUADOR
1923;7.7;RUSSIA
1923;7.2;PHILIPPINES
1923;7.3;CHINA
1923;7.2;RUSSIA
1923;7.0;CHILE
1923;5.7;IRAN
1923;5.5;PHILIPPINES
1923;7.9;JAPAN
1923;7.7;JAPAN
1923;6.4;IRAN
1923;6.9;IRAN
1923;7.5;INDONESIA
1923;7.2;PAPUA NEW GUINEA
1923;7.2;PAPUA NEW GUINEA
1923;5.3;COLOMBIA
1924;6.9;ECUADOR
1924;6.8;RUSSIA
1924;5.6;ALGERIA
1924;8.3;PHILIPPINES
1924;6.5;PHILIPPINES
1924;5.3;TURKEY
1924;7.8;AUSTRALIA
1924;7.6;RUSSIA
1924;7.3;CHINA
1924;7.5;AUSTRALIA
1924;7.3;PHILIPPINES
1924;6.8;TURKEY
1925;5.8;TURKEY
1925;6.8;USA
1925;7.0;CHINA
1925;7.6;VANUATU
1925;6.8;PHILIPPINES
1925;7.1;CHILE
1925;6.8;JAPAN
1925;6.3;PHILIPPINES
1925;6.7;USA
1925;6.8;USA
1925;5.9;TURKEY
1925;6.7;NICARAGUA
1925;7.5;ATLANTIC OCEAN
1925;5.8;CHINA
1925;7.3;PHILIPPINES
1925;7.0;MEXICO
1925;5.5;IRAN
1925;5.5;IRAN
1926;7.5;SOLOMON ISLANDS
1926;7.9;GREECE
1926;5.8;INDONESIA
1926;7.5;JAPAN
1926;5.3;ITALY
1926;6.9;SOLOMON ISLANDS
1926;7.9;AUSTRALIA
1926;5.7;TURKEY
1926;7.9;INDONESIA
1926;7.0;NICARAGUA
1926;5.5;CHINA
1926;6.0;CHILE
1926;5.8;ALBANIA
1927;5.8;USA
1927;7.3;JAPAN
1927;6.0;CHINA
1927;5.0;CHINA
1927;5.9;SERBIA AND MONTENEGRO
1927;7.6;CHINA
1927;6.0;UKRAINE
1927;7.3;GREECE
1927;6.3;ISRAEL
1927;6.9;JAPAN
1927;6.9;JAPAN
1927;6.8;TAIWAN
1927;6.8;UKRAINE
1927;5.7;UKRAINE
1927;7.1;USA
1927;7.3;USA
1927;7.1;CHILE
1927;5.5;CHINA
1927;6.3;INDONESIA
1927;7.5;RUSSIA
1928;5.8;CANADA
1928;7.7;MEXICO
1928;6.0;ITALY
1928;5.0;IRAN
1928;8.1;INDIAN OCEAN
1928;7.5;NEW CALEDONIA
1928;7.7;MEXICO
1928;5.8;ITALY
1928;6.5;TURKEY
1928;6.9;PERU
1928;6.8;BULGARIA
1928;7.8;MEXICO
1928;7.0;BULGARIA
1928;6.0;GREECE
1928;5.0;GREECE
1928;5.2;GREECE
1928;6.8;PERU
1928;4.3;TURKEY
1928;7.3;PERU
1928;7.0;PHILIPPINES
1928;7.7;MEXICO
1928;7.0;PERU
1928;5.8;CHINA
1928;5.4;IRAN
1928;7.6;MEXICO
1928;7.1;CHILE
1928;7.6;CHILE
1928;7.3;PHILIPPINES
1929;7.7;RUSSIA
1929;6.0;CHINA
1929;6.9;VENEZUELA
1929;5.5;MYANMAR (BURMA)
1929;7.1;AFGHANISTAN
1929;7.8;USA
1929;7.4;IRAN
1929;6.5;TURKEY
1929;6.8;JAPAN
1929;7.0;CANADA
1929;7.2;PHILIPPINES
1929;7.5;NEW ZEALAND
1929;7.8;SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS
1929;5.8;IRAN
1929;6.2;IRAN
1929;6.3;ICELAND
1929;7.5;CHILE
1929;7.3;CANADA
1929;7.8;USA
1930;5.5;CHINA
1930;5.6;ALBANIA
1930;6.7;GREECE
1930;7.3;MYANMAR (BURMA)
1930;7.5;IRAN
1930;6.0;CHINA
1930;6.0;INDONESIA
1930;7.1;BANGLADESH
1930;5.6;SPAIN
1930;6.5;INDONESIA
1930;6.5;ITALY
1930;5.5;CHINA
1930;5.2;USA
1930;6.5;CHINA
1930;6.3;TAJIKISTAN
1930;6.6;PAPUA NEW GUINEA
1930;5.0;IRAN
1930;5.9;ITALY
1930;6.0;ALBANIA
1930;7.1;JAPAN
1930;5.0;ALBANIA
1930;7.3;MYANMAR (BURMA)
1930;6.3;TAIWAN
1930;5.5;TAIWAN
1930;6.5;PAPUA NEW GUINEA
1930;6.0;ARGENTINA
1930;6.0;CHILE
1931;5.3;GREECE
1931;7.9;MEXICO
1931;7.6;MYANMAR (BURMA)
1931;5.8;ALBANIA
1931;7.7;NEW ZEALAND
1931;7.1;NEW ZEALAND
1931;6.9;GREECE
1931;7.7;JAPAN
1931;7.1;CHILE
1931;6.9;PHILIPPINES
1931;5.6;NICARAGUA
1931;6.3;ARMENIA
1931;6.0;UK
1931;7.0;PAPUA NEW GUINEA
1931;8.0;CHINA
1931;7.4;PAKISTAN
1931;7.0;JAPAN
1931;7.4;INDONESIA
1931;7.8;SOLOMON ISLANDS
1931;7.7;SOLOMON ISLANDS
1931;7.5;JAPAN
1932;6.8;PERU
1932;5.4;CUBA
1932;6.0;CHINA
1932;6.2;FIJI
1932;6.0;CHINA
1932;7.4;INDONESIA
1932;5.4;IRAN
1932;7.6;NICARAGUA
1932;7.9;KERMADEC ISLANDS (NEW ZEALAND)
1932;8.1;MEXICO
1932;7.9;MEXICO
1932;6.9;MEXICO
1932;7.0;MYANMAR (BURMA)
1932;6.8;NEW ZEALAND
1932;6.9;GREECE
1932;6.2;GREECE
1932;7.5;PACIFIC OCEAN
1932;7.2;USA
1932;7.6;CHINA
1932;5.0;CHINA
1933;7.6;CHILE
1933;8.4;JAPAN
1933;6.3;USA
1933;6.4;GREECE
1933;6.9;EL SALVADOR
1933;7.5;INDONESIA
1933;7.5;CHINA
1933;5.0;CHINA
1933;6.9;ECUADOR
1933;5.5;CHILE
1933;7.7;CANADA
1933;6.3;IRAN
1934;6.0;CHINA
1934;8.0;NEPAL
1934;6.3;CHINA
1934;7.9;PHILIPPINES
1934;7.5;NEW ZEALAND
1934;7.7;PANAMA
1934;7.8;SOLOMON ISLANDS
1934;7.1;SOLOMON ISLANDS
1934;6.5;TAIWAN
1934;7.0;MEXICO
1934;6.9;CHILE
1934;7.1;USA
1935;6.2;TURKEY
1935;6.7;GREECE
1935;6.0;IRAN
1935;6.3;IRAN
1935;6.0;TAIWAN
1935;6.0;CHINA
1935;6.1;TURKEY
1935;6.0;TAIWAN
1935;7.5;PAKISTAN
1935;5.8;TAIWAN
1935;6.3;JAPAN
1935;6.5;TAIWAN
1935;7.6;RUSSIA
1935;7.8;PAPUA NEW GUINEA
1935;6.2;USA
1935;6.0;USA
1935;6.5;INDONESIA
1935;7.6;SOLOMON ISLANDS
1935;6.0;CHINA
1935;7.9;INDONESIA
1936;7.0;COLOMBIA
1936;6.8;CHINA
1936;7.7;INDONESIA
1936;6.8;CHINA
1936;6.8;CHINA
1936;7.2;RUSSIA
1936;6.2;IRAN
1936;5.0;SOUTH KOREA
1936;7.3;CHILE
1936;6.0;CHINA
1936;5.5;CHINA
1936;7.2;TAIWAN
1936;7.3;INDONESIA
1936;5.5;CHINA
1936;7.3;RUSSIA
1937;7.5;CHINA
1937;5.2;ALGERIA
1937;7.6;RUSSIA
1937;8.1;FIJI
1937;7.7;MEXICO
1937;7.0;CHINA
1937;7.5;PHILIPPINES
1937;5.0;CHINA
1937;7.2;INDONESIA
1937;7.2;AFGHANISTAN
1937;7.0;TAIWAN
1937;7.5;MEXICO
1937;6.2;PERU
1938;8.5;INDONESIA
1938;6.3;CANADA
1938;6.7;TURKEY
1938;7.5;PAPUA NEW GUINEA
1938;6.0;CHINA
1938;7.6;INDONESIA
1938;6.1;JAPAN
1938;7.6;JAPAN
1938;6.3;ECUADOR
1938;7.7;JAPAN
1938;7.6;JAPAN
1938;7.5;JAPAN
1938;7.1;JAPAN
1938;8.2;USA
1938;6.0;JAPAN
1938;7.0;TAIWAN
1939;5.3;TURKEY
1939;8.3;CHILE
1939;7.7;PAPUA NEW GUINEA
1939;6.6;JAPAN
1939;7.4;CHILE
1939;7.9;SOLOMON ISLANDS
1939;7.0;JAPAN
1939;6.5;PHILIPPINES
1939;6.5;AZORES (PORTUGAL)
1939;6.4;GHANA
1939;5.6;CUBA
1939;5.5;CHINA
1939;6.5;TURKEY
1939;5.9;TURKEY
1939;6.9;AFGHANISTAN
1939;8.0;INDONESIA
1939;7.7;TURKEY
1940;4.8;ITALY
1940;6.0;CHINA
1940;6.0;CHINA
1940;6.0;TURKEY
1940;7.2;USA
1940;8.2;PERU
1940;5.5;CHINA
1940;7.4;USA
1940;7.5;JAPAN
1940;5.8;CHINA
1940;7.3;CHILE
1940;7.0;CHILE
1940;7.3;ROMANIA
1941;5.9;YEMEN
1941;7.4;PAPUA NEW GUINEA
1941;6.6;USA
1941;6.3;IRAN
1941;7.9;MEXICO
1941;6.0;CHINA
1941;7.0;CHINA
1941;7.6;INDIA
1941;6.0;TURKEY
1941;6.0;CHINA
1941;5.9;TURKEY
1941;7.4;JAPAN
1941;8.3;ATLANTIC OCEAN
1941;7.6;COSTA RICA
1941;6.9;COSTA RICA
1941;7.1;TAIWAN
1941;7.0;CHINA
1942;6.8;CHINA
1942;7.8;PHILIPPINES
1942;7.9;ECUADOR
1942;5.8;COLOMBIA
1942;7.5;INDONESIA
1942;6.0;CHINA
1942;7.9;GUATEMALA
1942;8.2;PERU
1942;6.0;ALBANIA
1942;7.9;SOUTH AFRICA
